Key,xTSNE,yTSNE
secretarial skills,9.197236,-19.503315
property management,-2.7651577,-21.60448
market research,-14.582593,-26.804258
clerical duties,8.272402,-19.338425
information security,-53.315094,17.419529
vital signs measurement,25.870724,-1.1299586
prepare presentations,-1.6841266,-15.6064415
behavioral health,23.397179,-14.278859
technical training,9.042115,14.5618105
systems development,-30.983019,3.7428248
vmware,-46.075462,9.6249275
network hardware/software maintenance,-33.58501,6.9589257
sales planning,-9.83778,-23.961569
hazmat,13.006001,13.128897
extraction transformation and loading (etl),-37.203175,-6.5924654
public accounting,0.23419979,-35.901146
industrial engineering industry expertise,-1.9480791,21.722557
technical assistance,6.318983,-8.660351
front office,7.2058916,-17.075365
agile development,-43.75185,-8.453697
transmission control protocol / internet protocol (tcp / ip),-43.52518,16.563803
medical assistance,27.84794,-2.7739916
pathology,30.683647,-4.4248853
business solutions,-6.5974846,-13.41356
hardware and software configuration,-38.598812,12.163617
hypertext preprocessor (php),-44.992775,-14.616183
speech language pathology,31.32603,-17.768713
sas,-48.05833,-29.586819
root cause analysis,-7.6201253,16.958925
database management,-37.14365,-3.1753504
litigation,13.287523,-30.31215
internal auditing,0.7652302,-37.39291
supply chain management,2.557904,7.709352
medical terminology,27.541567,-27.437466
mysql,-55.669247,-9.383856
program management,2.8126657,-7.382036
patient treatment,26.045416,-4.9863124
patient evaluation,26.113379,-4.58196
sales calls,-10.580929,-22.26648
printers,-37.939148,14.8873205
special education,21.530289,-18.55725
biology,37.095863,20.398226
test equipment,-10.615283,35.777596
peoplesoft,-32.0189,-11.935771
business systems analysis,-30.52341,1.9259852
invoicing,4.3401027,-22.564817
accounts payable / accounts receivable,4.664089,-26.72746
loss control / prevention,1.6433634,-5.3104954
machining,-11.140431,44.329094
web site design,-31.112923,-27.109812
creative problem solving,0.29458332,-10.6747675
carpentry,-2.437523,48.677723
physics,-17.292475,23.315975
phlebotomy,35.767735,13.513158
manufacturing processes,-4.775198,22.0729
travel arrangements,8.248186,-20.910368
systems integration,-30.418657,5.1335597
shipping and receiving,7.9591827,10.614218
cost estimation,-2.5802267,29.932089
educational programs,24.454576,-9.404239
