Key,xTSNE,yTSNE
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",-19.85327,15.908936
Surveying and Mapping Technicians,5.541468,12.955312
Cabinetmakers and Bench Carpenters,-31.168625,11.329199
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",-22.800896,5.4201717
"Textile, Apparel, and Furnishings Workers, All Other",-19.237724,4.2414994
"Foreign Language and Literature Teachers, Postsecondary",21.678371,-7.3334603
Psychiatric Aides,21.940836,-19.706553
"Healthcare Practitioners and Technical Workers, All Other",18.775429,-18.942253
Labor Relations Specialists,6.768861,3.2155037
Microbiologists,3.956402,-22.607836
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",-26.988995,6.180803
Dental Laboratory Technicians,13.430471,-26.564045
"Extraction Workers, All Other",-20.775635,13.180298
Fire Inspectors and Investigators,-14.333893,14.339039
"Court, Municipal, and License Clerks",6.4886646,-9.452988
Firefighters,-11.077702,13.314013
Food Cooking Machine Operators and Tenders,-21.261759,3.4922602
Zoologists and Wildlife Biologists,2.3237708,9.573021
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-31.496807,5.3296714
Astronomers,5.7102566,-24.195807
"Sociology Teachers, Postsecondary",22.903612,-5.0814743
"Arbitrators, Mediators, and Conciliators",6.14092,3.1447706
"Philosophy and Religion Teachers, Postsecondary",20.999706,-3.9835713
"Woodworkers, All Other",-32.20816,11.255096
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",-11.210919,8.528516
Jewelers and Precious Stone and Metal Workers,-5.289243,-5.8254685
"Social Work Teachers, Postsecondary",16.842169,-12.099021
"Life Scientists, All Other",4.8726797,-24.352905
Fence Erectors,-33.290104,10.743599
Conveyor Operators and Tenders,-22.002123,7.3643284
Fiberglass Laminators and Fabricators,-25.42707,3.547391
Sociologists,5.9543376,-0.2737891
Bridge and Lock Tenders,-27.74641,17.155153
Rail-Track Laying and Maintenance Equipment Operators,-21.620935,13.602593
Pharmacy Aides,-12.042824,-12.444278
Stonemasons,-32.531227,13.220187
Statistical Assistants,3.8849978,1.5728395
Forest and Conservation Workers,0.09870951,9.828031
Floral Designers,-6.4751816,-5.5744348
"Career/Technical Education Teachers, Secondary School",16.951458,-8.474712
